4210087;Mehmet Akif Ersoy Mahallesi Muhtarlığı;ARNAVUTKÖY;MEHMET AKİF ERSOY
1185477;Saadetdere Mahallesi Muhtarlığı;ESENYURT;SAADETDERE
1186280;Emin Sinan Mahallesi Muhtarlığı;FATİH;BİNBİRDİREK
1182038;Mimar Sinan Mahallesi Muhtarlığı;BÜYÜKÇEKMECE;MİMAR SİNAN
1184809;Kuleli Mahallesi Muhtarlığı;ÜSKÜDAR;KANDİLLİ
1185927;Merkez Mahallesi Muhtarlığı;KAĞITHANE;MERKEZ
1183751;Tayakadın Mahallesi Muhtarlığı;ARNAVUTKÖY;TAYAKADIN
1185873;Emniyettepe Mahallesi Muhtarlığı;EYÜPSULTAN;EMNİYETTEPE
1185797;İnönü Mahallesi Muhtarlığı;BAĞCILAR;İNÖNÜ
1184483;Sahil Mahallesi Muhtarlığı;BEYLİKDÜZÜ;SAHİL
1186526;İsaköy Mahallesi Muhtarlığı;ŞİLE;İSAKÖY
111044299;Düğmeciler Mahallesi Muhtarlığı;EYÜPSULTAN;İSLAMBEY
118673;Çengilli Mahallesi Muhtarlığı;ŞİLE;ÇENGİLLİ
66132;Fatih Sultan Mehmet Mahallesi Muhtarlığı;SARIYER;FATİH SULTAN MEHMET
2190;Baklalı Mahallesi Muhtarlığı;ARNAVUTKÖY;BAKLALI
1183652;Kumburgaz Mahallesi Muhtarlığı;BÜYÜKÇEKMECE;KUMBURGAZ
1186579;Ahmet Yesevi Mahallesi Muhtarlığı;SULTANBEYLİ;AHMET YESEVİ
1186525;Garipçe Mahallesi Muhtarlığı;SARIYER;GARİPÇE
380;Ömerli Mahallesi Muhtarlığı;ARNAVUTKÖY;ÖMERLİ
12558885;Veliefendi Mahallesi Muhtarlığı;ZEYTİNBURNU;VELİEFENDİ
1183577;Mimar Sinan Mahallesi Muhtarlığı;ÇEKMEKÖY;MİMAR SİNAN
1185913;Sazlıbosna Mahallesi Muhtarlığı;ARNAVUTKÖY;SAZLIBOSNA
130000322;Koza Mahallesi Muhtarlığı;ESENYURT;KOZA
1183727;İstiklal Mahallesi Muhtarlığı;BEYOĞLU;İSTİKLAL
1185985;Çiftalan Mahallesi Mahallesi Muhtarlığı;EYÜPSULTAN;ÇİFTALAN
1185679;Doğu Mahallesi Muhtarlığı;PENDİK;DOĞU
1185634;Kemer Mahallesi Muhtarlığı;ESENLER;KEMER
1186441;Harmantepe Mahallesi Muhtarlığı;KAĞITHANE;HARMANTEPE
1433;Karacaköy Merkez Mahallesi Muhtarlığı;ÇATALCA;KARACAKÖY MERKEZ
65154;Zafer Mahallesi Muhtarlığı;BAHÇELİEVLER;ZAFER
1186046;Sinanpaşa Mahallesi Muhtarlığı;BEŞİKTAŞ;SİNANPAŞA
1185265;Çamlık Mahallesi Muhtarlığı;ÜMRANİYE;ÇAMLIK
1186050;Harmandere Mahallesi Muhtarlığı;PENDİK;HARMANDERE
1186047;Gülsuyu Mahallesi Muhtarlığı;MALTEPE;GÜLSUYU
1186032;Koşuyolu Mahallesi Muhtarlığı;KADIKÖY;KOŞUYOLU
1185303;Fatih Mahallesi Muhtarlığı;SANCAKTEPE;FATİH
4210082;Mustafa Kemal Paşa Mahallesi Muhtarlığı;ARNAVUTKÖY;MUSTAFA KEMAL PAŞA
1186191;Dumlupınar Mahallesi Muhtarlığı;KADIKÖY;EĞİTİM
1184621;Yaka Mahallesi Muhtarlığı;ŞİLE;YAKA
1185844;Rasimpaşa Mahallesi Muhtarlığı;KADIKÖY;RASİMPAŞA
1185846;İstasyon Mahallesi Muhtarlığı;KÜÇÜKÇEKMECE;İSTASYON
1184479;50. Yıl Mahallesi Muhtarlığı;SULTANGAZİ;50. YIL
1184128;Çamlıtepe Mahallesi Muhtarlığı;SARIYER;ÇAMLITEPE
1185801;Kocataş Mahallesi Muhtarlığı;SARIYER;KOCATAŞ
1184729;Piyalepaşa Mahalle Muhtarlığı;BEYOĞLU;PİYALEPAŞA
1185304;Kazım Karabekir Paşa Mahallesi Muhtarlığı;SARIYER;KAZIM KARABEKİR PAŞA
4413003;Büyükdere Mahallesi Muhtarlığı;SARIYER;BÜYÜKDERE
